security,horizon,scheme,fold,use_categoricals,ntrees,depth,tau_w,xgb_max_depth,xgb_lr,xgb_subsample,xgb_colsample,xgb_reg_lambda,xgb_min_child_weight,importance_type,feature,relevance
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,chg_lag1,7.902405738830566
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,chg_lag2,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,chg_lag3,5.710071086883545
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,chg_lag4,12.956300735473633
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,chg_lag5,8.999319076538086
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,carry_roll,6.017843723297119
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,mom_63d,3.7337801456451416
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,mom_1m,4.088099479675293
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,mom_3m,8.847769737243652
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,mom_6m,24.040386199951172
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,mom_12m,2.986516237258911
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,dev_ma_3m,14.27602481842041
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,dev_ma_12m,15.9977388381958
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,vol_20d,5.916331768035889
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,vol_regime,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,vol_zscore,2.106034278869629
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,level_zscore,23.560388565063477
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,slope_10_1,3.6055569648742676
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,slope_10_5,5.286898612976074
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,slope_5_1,10.5155611038208
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,sofr_mom_1m,2.868914842605591
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ibor_level,7.6281352043151855
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ibor_chg_1d,6.512956142425537
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ibor_mom_1m,6.021583080291748
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ibor_term_slope,0.8631533980369568
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,swap_ibor_basis,14.706243515014648
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,move_level,3.9017319679260254
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,move_zscore,1.6241629123687744
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,vix_level,3.8189706802368164
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,vix_zscore,15.685415267944336
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,v2x_level,1.7735697031021118
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,vxn_level,1.2798525094985962
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ovx_level,2.22200083732605
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,gvz_level,42.356685638427734
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,spx_mom_1m,2.396075963973999
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,spx_mom_3m,65.44692993164062
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,sx5e_mom_1m,8.356632232666016
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,sx5e_mom_3m,8.982314109802246
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,mxwo_mom_1m,3.743065357208252
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ndx_mom_1m,3.2766029834747314
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,oil_mom_1m,10.579662322998047
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,oil_mom_3m,8.411919593811035
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,copper_mom_1m,5.388774871826172
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,opec_prod,12.74342155456543
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,natgas_mom_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,be5y_level,9.544583320617676
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,be10y_level,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,be_slope,10.350324630737305
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,be5y_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ig_spread,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,hy_spread,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,ig_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,hy_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,cpi_yoy,11.561476707458496
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,pce_core_chg,8.111080169677734
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,nfp_change,4.928412437438965
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,pmi_us,5.518258094787598
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,pmi_eur,6.626241207122803
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,unemp_eur,7.28855037689209
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,cpi_nsa_level,9.511507034301758
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,pce_core_level,25.256290435791016
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,eur_3m,9.135849952697754
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,eur_1w,15.46585750579834
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,nor_ibor_1m,6.219221115112305
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,nor_ibor_6m,6.42248010635376
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_01,4.834476947784424
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_02,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_03,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_04,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_05,0.8524970412254333
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_06,20.107200622558594
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_07,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_08,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_09,2.9267101287841797
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_10,0.15598449110984802
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_11,0.3949699401855469
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,xmpca_12,4.885224342346191
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,security,9.71413516998291
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,country,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,gain,maturity,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,chg_lag1,42.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,chg_lag2,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,chg_lag3,12.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,chg_lag4,27.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,chg_lag5,7.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,carry_roll,42.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,mom_63d,30.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,mom_1m,21.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,mom_3m,16.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,mom_6m,33.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,mom_12m,17.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,dev_ma_3m,46.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,dev_ma_12m,39.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,vol_20d,21.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,vol_regime,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,vol_zscore,10.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,level_zscore,30.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,slope_10_1,17.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,slope_10_5,27.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,slope_5_1,23.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,sofr_mom_1m,19.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ibor_level,62.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ibor_chg_1d,3.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ibor_mom_1m,21.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ibor_term_slope,3.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,swap_ibor_basis,40.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,move_level,20.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,move_zscore,8.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,vix_level,2.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,vix_zscore,5.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,v2x_level,5.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,vxn_level,3.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ovx_level,12.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,gvz_level,9.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,spx_mom_1m,8.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,spx_mom_3m,22.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,sx5e_mom_1m,11.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,sx5e_mom_3m,14.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,mxwo_mom_1m,4.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ndx_mom_1m,5.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,oil_mom_1m,21.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,oil_mom_3m,21.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,copper_mom_1m,19.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,opec_prod,10.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,natgas_mom_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,be5y_level,2.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,be10y_level,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,be_slope,4.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,be5y_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ig_spread,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,hy_spread,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,ig_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,hy_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,cpi_yoy,18.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,pce_core_chg,13.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,nfp_change,10.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,pmi_us,23.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,pmi_eur,7.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,unemp_eur,10.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,cpi_nsa_level,2.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,pce_core_level,1.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,eur_3m,35.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,eur_1w,29.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,nor_ibor_1m,9.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,nor_ibor_6m,20.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_01,15.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_02,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_03,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_04,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_05,1.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_06,1.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_07,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_08,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_09,1.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_10,1.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_11,1.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,xmpca_12,2.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,security,296.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,country,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,weight,maturity,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,chg_lag1,23081.453125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,chg_lag2,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,chg_lag3,18.41666603088379
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,chg_lag4,433.6666564941406
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,chg_lag5,20.285715103149414
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,carry_roll,1285.4761962890625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,mom_63d,8256.400390625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,mom_1m,1007.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,mom_3m,5186.3125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,mom_6m,16346.63671875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,mom_12m,14506.8828125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,dev_ma_3m,23853.716796875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,dev_ma_12m,4172.35888671875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,vol_20d,6470.66650390625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,vol_regime,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,vol_zscore,9038.2001953125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,level_zscore,2526.7333984375
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,slope_10_1,6782.82373046875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,slope_10_5,1193.77783203125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,slope_5_1,7392.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,sofr_mom_1m,2037.631591796875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ibor_level,7179.806640625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ibor_chg_1d,111.66666412353516
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ibor_mom_1m,6146.66650390625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ibor_term_slope,262.6666564941406
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,swap_ibor_basis,6908.1748046875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,move_level,14987.900390625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,move_zscore,3717.125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,vix_level,23.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,vix_zscore,202.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,v2x_level,1502.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,vxn_level,247.6666717529297
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ovx_level,11223.0830078125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,gvz_level,20688.888671875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,spx_mom_1m,186.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,spx_mom_3m,30882.091796875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,sx5e_mom_1m,14120.181640625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,sx5e_mom_3m,15655.2861328125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,mxwo_mom_1m,14761.25
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ndx_mom_1m,1800.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,oil_mom_1m,15707.4765625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,oil_mom_3m,23571.19140625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,copper_mom_1m,21345.158203125
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,opec_prod,23550.099609375
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,natgas_mom_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,be5y_level,5450.5
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,be10y_level,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,be_slope,75.25
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,be5y_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ig_spread,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,hy_spread,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,ig_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,hy_chg_1m,0.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,cpi_yoy,12860.0556640625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,pce_core_chg,11825.615234375
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,nfp_change,10000.400390625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,pmi_us,2504.652099609375
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,pmi_eur,9050.4287109375
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,unemp_eur,2079.199951171875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,cpi_nsa_level,149.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,pce_core_level,2772.0
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,eur_3m,9459.5146484375
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,eur_1w,18085.2421875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,nor_ibor_1m,771.888916015625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,nor_ibor_6m,11117.150390625
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,xmpca_01,18251.466796875
__POOL__,21,walk_forward,GFC,True,53,5,,5,0.1,0.8,1.0,1.0,1,cover,xmpca_02,0.0
