security,horizon,fold,feature,relevance
NOR_10Y,5,ZIRP_early,mom_6m,0.0
NOR_10Y,5,ZIRP_early,mom_12m,0.0
NOR_10Y,5,ZIRP_early,dev_ma_3m,0.0
NOR_10Y,5,ZIRP_early,dev_ma_12m,0.0
NOR_10Y,5,ZIRP_early,vol_20d,0.0
NOR_10Y,5,ZIRP_early,vol_regime,0.0
NOR_10Y,5,ZIRP_early,vol_zscore,0.0
NOR_10Y,5,ZIRP_early,level_zscore,0.0
NOR_10Y,5,ZIRP_early,slope_10_1,0.0
NOR_10Y,5,ZIRP_early,slope_10_5,0.0
NOR_10Y,5,ZIRP_early,slope_5_1,0.0
NOR_10Y,5,ZIRP_early,sofr_mom_1m,0.0
NOR_10Y,5,ZIRP_early,ibor_level,0.0
NOR_10Y,5,ZIRP_early,ibor_chg_1d,0.0
NOR_10Y,5,ZIRP_early,ibor_mom_1m,0.0
NOR_10Y,5,ZIRP_early,ibor_term_slope,0.0
NOR_10Y,5,ZIRP_early,swap_ibor_basis,0.0
NOR_10Y,5,ZIRP_early,move_level,0.0
NOR_10Y,5,ZIRP_early,move_zscore,0.0
NOR_10Y,5,ZIRP_early,vix_level,0.0
NOR_10Y,5,ZIRP_early,vix_zscore,0.0
NOR_10Y,5,ZIRP_early,v2x_level,0.0
NOR_10Y,5,ZIRP_early,vxn_level,0.0
NOR_10Y,5,ZIRP_early,ovx_level,0.0
NOR_10Y,5,ZIRP_early,gvz_level,0.0
NOR_10Y,5,ZIRP_early,spx_mom_1m,0.0
NOR_10Y,5,ZIRP_early,spx_mom_3m,0.0
NOR_10Y,5,ZIRP_early,sx5e_mom_1m,0.0
NOR_10Y,5,ZIRP_early,sx5e_mom_3m,0.0
NOR_10Y,5,ZIRP_early,mxwo_mom_1m,0.0
NOR_10Y,5,ZIRP_early,ndx_mom_1m,0.0
NOR_10Y,5,ZIRP_early,oil_mom_1m,0.0
NOR_10Y,5,ZIRP_early,oil_mom_3m,0.0
NOR_10Y,5,ZIRP_early,copper_mom_1m,0.0
NOR_10Y,5,ZIRP_early,opec_prod,0.0
NOR_10Y,5,ZIRP_early,natgas_mom_1m,0.0
NOR_10Y,5,ZIRP_early,be5y_level,0.0
NOR_10Y,5,ZIRP_early,be10y_level,0.0
NOR_10Y,5,ZIRP_early,be_slope,0.0
NOR_10Y,5,ZIRP_early,be5y_chg_1m,0.0
NOR_10Y,5,ZIRP_early,ig_spread,0.0
NOR_10Y,5,ZIRP_early,hy_spread,0.0
NOR_10Y,5,ZIRP_early,ig_chg_1m,0.0
NOR_10Y,5,ZIRP_early,hy_chg_1m,0.0
NOR_10Y,5,ZIRP_early,cpi_yoy,0.0
NOR_10Y,5,ZIRP_early,pce_core_chg,0.0
NOR_10Y,5,ZIRP_early,nfp_change,0.0
NOR_10Y,5,ZIRP_early,pmi_us,0.0
NOR_10Y,5,ZIRP_early,pmi_eur,0.0
NOR_10Y,5,ZIRP_early,unemp_eur,0.0
NOR_10Y,5,ZIRP_early,cpi_nsa_level,0.0
NOR_10Y,5,ZIRP_early,pce_core_level,0.0
NOR_10Y,5,ZIRP_early,eur_3m,0.0
NOR_10Y,5,ZIRP_early,eur_1w,0.0
NOR_10Y,5,ZIRP_early,nor_ibor_1m,0.0
NOR_10Y,5,ZIRP_early,nor_ibor_6m,0.0
NOR_10Y,5,ZIRP_early,nor_ecb_dfr_chg,0.0
NOR_10Y,5,ZIRP_early,nor_ecb_dfr_level,0.0
NOR_10Y,5,ZIRP_early,nor_eurnok_chg_1d,0.0
NOR_10Y,5,ZIRP_early,nor_eurnok_level,0.0
NOR_10Y,5,ZIRP_early,nor_eurnok_mom_1m,0.0
NOR_10Y,5,ZIRP_early,nor_eurnok_mom_3m,0.0
NOR_10Y,5,ZIRP_early,nor_eurnok_rvol_20d,0.0
NOR_10Y,5,ZIRP_early,nor_govt_10y,0.0
NOR_10Y,5,ZIRP_early,nor_govt_3y,0.0
NOR_10Y,5,ZIRP_early,nor_govt_5y,0.0
NOR_10Y,5,ZIRP_early,nor_i44_chg_1d,0.0
NOR_10Y,5,ZIRP_early,nor_i44_level,100.0
NOR_10Y,5,ZIRP_early,nor_i44_mom_1m,0.0
NOR_10Y,5,ZIRP_early,nor_i44_mom_3m,0.0
NOR_10Y,5,ZIRP_early,nor_i44_rvol_20d,0.0
NOR_10Y,5,ZIRP_early,nor_kpi_yoy,0.0
NOR_10Y,5,ZIRP_early,nor_kpijae_yoy,0.0
NOR_10Y,5,ZIRP_early,nor_nibor_nowa_spread,0.0
NOR_10Y,5,ZIRP_early,nor_nowa_level,0.0
NOR_10Y,5,ZIRP_early,nor_polrate_chg_1d,0.0
NOR_10Y,5,ZIRP_early,nor_polrate_days_since_chg,0.0
NOR_10Y,5,ZIRP_early,nor_polrate_level,0.0
NOR_10Y,5,ZIRP_early,nor_rb_rate_chg,0.0
NOR_10Y,5,ZIRP_early,nor_rb_rate_level,0.0
NOR_10Y,5,ZIRP_early,nor_unemp,0.0
NOR_10Y,5,ZIRP_early,nor_usdnok_chg_1d,0.0
NOR_10Y,5,ZIRP_early,nor_usdnok_level,0.0
NOR_10Y,5,ZIRP_early,nor_usdnok_mom_1m,0.0
NOR_10Y,5,ZIRP_early,nor_usdnok_mom_3m,0.0
NOR_10Y,5,ZIRP_early,nor_usdnok_rvol_20d,0.0
NOR_10Y,5,ZIRP_early,swap_govt_spread,0.0
NOR_10Y,5,ZIRP_early,xmpca_01,0.0
NOR_10Y,5,ZIRP_early,xmpca_02,0.0
NOR_10Y,5,ZIRP_early,xmpca_03,0.0
NOR_10Y,5,ZIRP_early,xmpca_04,0.0
NOR_10Y,5,ZIRP_early,xmpca_05,0.0
NOR_10Y,5,ZIRP_early,xmpca_06,0.0
NOR_10Y,5,ZIRP_early,xmpca_07,0.0
NOR_10Y,5,ZIRP_early,xmpca_08,0.0
NOR_10Y,5,ZIRP_early,xmpca_09,0.0
NOR_10Y,5,ZIRP_early,xmpca_10,0.0
NOR_10Y,5,ZIRP_early,xmpca_11,0.0
NOR_10Y,5,ZIRP_early,xmpca_12,0.0
NOR_10Y,5,ZIRP_late,chg_lag1,0.0
NOR_10Y,5,ZIRP_late,chg_lag2,0.0
NOR_10Y,5,ZIRP_late,chg_lag3,0.0
NOR_10Y,5,ZIRP_late,chg_lag4,0.0
NOR_10Y,5,ZIRP_late,chg_lag5,0.0
