scheme,security,horizon,fold,feature,relevance
block_cv,NOR_10Y,1,Block_GFC,chg_lag1,2.4193150997161865
block_cv,NOR_10Y,1,Block_GFC,chg_lag2,6.111563682556152
block_cv,NOR_10Y,1,Block_GFC,chg_lag3,0.0
block_cv,NOR_10Y,1,Block_GFC,chg_lag4,0.0
block_cv,NOR_10Y,1,Block_GFC,chg_lag5,0.0
block_cv,NOR_10Y,1,Block_GFC,carry_roll,0.0
block_cv,NOR_10Y,1,Block_GFC,mom_63d,0.0
block_cv,NOR_10Y,1,Block_GFC,mom_1m,1.820837378501892
block_cv,NOR_10Y,1,Block_GFC,mom_3m,0.0
block_cv,NOR_10Y,1,Block_GFC,mom_6m,6.6172380447387695
block_cv,NOR_10Y,1,Block_GFC,mom_12m,0.0
block_cv,NOR_10Y,1,Block_GFC,dev_ma_3m,0.0
block_cv,NOR_10Y,1,Block_GFC,dev_ma_12m,0.0
block_cv,NOR_10Y,1,Block_GFC,vol_20d,3.168023109436035
block_cv,NOR_10Y,1,Block_GFC,vol_regime,0.0
block_cv,NOR_10Y,1,Block_GFC,vol_zscore,0.0
block_cv,NOR_10Y,1,Block_GFC,level_zscore,0.0
block_cv,NOR_10Y,1,Block_GFC,slope_10_1,0.0
block_cv,NOR_10Y,1,Block_GFC,slope_10_5,0.0
block_cv,NOR_10Y,1,Block_GFC,slope_5_1,0.0
block_cv,NOR_10Y,1,Block_GFC,sofr_mom_1m,3.3279008865356445
block_cv,NOR_10Y,1,Block_GFC,ibor_level,0.0
block_cv,NOR_10Y,1,Block_GFC,ibor_chg_1d,3.729059934616089
block_cv,NOR_10Y,1,Block_GFC,ibor_mom_1m,1.0417213439941406
block_cv,NOR_10Y,1,Block_GFC,ibor_term_slope,6.884555816650391
block_cv,NOR_10Y,1,Block_GFC,swap_ibor_basis,0.0
block_cv,NOR_10Y,1,Block_GFC,move_level,1.467199683189392
block_cv,NOR_10Y,1,Block_GFC,move_zscore,0.0
block_cv,NOR_10Y,1,Block_GFC,vix_level,0.0
block_cv,NOR_10Y,1,Block_GFC,vix_zscore,0.0
block_cv,NOR_10Y,1,Block_GFC,v2x_level,0.0
block_cv,NOR_10Y,1,Block_GFC,vxn_level,0.0
block_cv,NOR_10Y,1,Block_GFC,ovx_level,0.0
block_cv,NOR_10Y,1,Block_GFC,gvz_level,0.0
block_cv,NOR_10Y,1,Block_GFC,spx_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,spx_mom_3m,0.0
block_cv,NOR_10Y,1,Block_GFC,sx5e_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,sx5e_mom_3m,0.0
block_cv,NOR_10Y,1,Block_GFC,mxwo_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,ndx_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,oil_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,oil_mom_3m,0.0
block_cv,NOR_10Y,1,Block_GFC,copper_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,opec_prod,0.0
block_cv,NOR_10Y,1,Block_GFC,natgas_mom_1m,0.0
block_cv,NOR_10Y,1,Block_GFC,be5y_level,0.0
block_cv,NOR_10Y,1,Block_GFC,be10y_level,0.0
block_cv,NOR_10Y,1,Block_GFC,be_slope,0.0
